City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,College,US,64.86,-147.8,6.8,70,75,6.93,broken clouds
270,Salinas,US,36.68,-121.66,59.0,87,90,1.54,light rain
271,Labuhan,ID,-6.88,112.21,77.2,85,100,6.91,overcast clouds
272,Panna,IN,24.72,80.2,62.62,74,84,4.18,broken clouds
273,Arinos,BR,-15.92,-46.11,73.65,70,0,4.29,clear sky
274,Kuching,MY,1.55,110.33,73.4,100,20,2.08,few clouds
275,Mumford,GH,5.26,-0.76,80.13,84,83,8.95,broken clouds
276,Dhuwaran,IN,22.23,72.8,66.97,39,0,6.49,clear sky
277,Diffa,NE,13.32,12.61,77.47,17,0,7.74,clear sky
278,Gat,IL,31.61,34.76,73.0,63,0,2.24,clear sky
279,Pauini,BR,-7.71,-66.98,84.22,67,60,2.04,broken clouds
280,Taoudenni,ML,22.68,-3.98,70.23,23,62,10.49,broken clouds
281,Jiayuguan,CN,39.82,98.3,8.55,83,75,1.36,broken clouds
282,New Ulm,US,44.31,-94.46,28.99,68,90,13.87,overcast clouds
283,Victoria,HK,22.29,114.16,69.01,81,84,13.89,broken clouds
284,Kaitangata,NZ,-46.28,169.85,59.0,61,97,8.99,overcast clouds
285,Nioro,GM,13.35,-15.75,76.21,23,78,6.6,broken clouds
286,Richards Bay,ZA,-28.78,32.04,72.72,89,71,4.9,broken clouds
287,Kieta,PG,-6.22,155.63,84.27,68,89,2.91,overcast clouds
288,Arrifes,PT,37.77,-25.7,57.2,76,75,10.29,broken clouds
289,Kishni,IN,27.02,79.26,58.62,36,1,10.07,clear sky
290,Dillon,US,34.42,-79.37,69.8,82,1,6.93,clear sky
291,Varkaus,FI,62.32,27.87,26.01,100,90,3.36,light snow
292,Bethel,US,41.37,-73.41,53.6,54,1,10.29,clear sky
293,Alice Springs,AU,-23.7,133.88,82.99,65,31,12.75,scattered clouds
294,Lagoa,PT,39.05,-27.98,57.65,64,32,25.95,light rain
295,Grand-Santi,GF,4.25,-54.38,80.78,64,16,3.49,few clouds
296,Navahrudak,BY,53.6,25.83,29.1,99,100,4.99,overcast clouds
297,Reconquista,AR,-29.15,-59.65,72.73,50,61,12.75,light rain
298,Kutum,SD,14.2,24.67,64.72,25,100,4.47,overcast clouds
299,Bathsheba,BB,13.22,-59.52,80.6,78,20,8.05,few clouds
300,Flin Flon,CA,54.77,-101.86,-5.8,70,40,9.17,scattered clouds
301,Port-Gentil,GA,-0.72,8.78,80.6,83,75,9.17,broken clouds
302,Giyon,ET,8.53,37.98,57.36,46,38,14.03,scattered clouds
303,Kautokeino,NO,69.01,23.04,20.61,97,98,1.66,overcast clouds
304,San Javier,ES,37.81,-0.84,57.0,93,100,3.36,overcast clouds
305,Perbaungan,ID,3.57,98.96,75.2,100,40,4.7,scattered clouds
306,Okhotsk,RU,59.38,143.3,-2.25,83,100,18.39,overcast clouds
307,Nicolas Bravo,MX,18.45,-88.92,84.2,74,40,14.99,light rain
308,Rosignano Marittimo,IT,43.41,10.47,41.0,100,40,3.36,mist
309,Gatton,AU,-27.55,152.28,69.8,94,90,9.17,light intensity shower rain
310,Mtwara,TZ,-10.27,40.18,78.78,84,0,8.3,clear sky
311,Cidreira,BR,-30.18,-50.21,71.04,93,80,1.81,broken clouds
312,Tessalit,ML,20.2,1.01,67.32,26,0,9.62,clear sky
313,Upernavik,GL,72.79,-56.15,24.71,98,100,1.92,light snow
314,Praia Da Vitoria,PT,38.73,-27.07,55.4,76,40,17.0,light intensity shower rain
315,Safaga,EG,26.73,33.94,71.6,83,0,4.97,clear sky
