City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Tabuk,PH,73.04,broken clouds,17.42,121.44,Grand Zion Garden Resort Hotel
534,Marondera,ZW,60.51,overcast clouds,-18.19,31.55,HopeFay Conference Centre
546,Azangaro,PE,68.0,scattered clouds,-14.92,-70.22,Hotel Miraflores Azangaro
553,Caravelas,BR,74.79,clear sky,-17.71,-39.25,Pousada dos Navegantes
555,Tabora,TZ,64.04,moderate rain,-5.02,32.8,Barcelona Lodge
566,Osorno,CL,60.8,scattered clouds,-40.57,-73.15,Sonesta Hotel Osorno
572,Tallahassee,US,71.6,broken clouds,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
587,Ilo,PE,69.49,scattered clouds,-17.64,-71.34,Torreblanca Hotel
591,Nouadhibou,MR,68.0,broken clouds,20.93,-17.03,El Medina
592,Mosquera,CO,64.4,scattered clouds,4.71,-74.23,Hotel SJ
594,Wum,CM,70.11,overcast clouds,6.38,10.07,Beng Family Estate
602,Hualmay,PE,70.36,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
612,Tshikapa,CD,69.98,overcast clouds,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
613,Salta,AR,68.0,light rain,-24.79,-65.41,Hotel Alejandro I
619,Nelson Bay,AU,71.6,scattered clouds,-32.72,152.15,Mantra Nelson Bay
622,Camacha,PT,60.8,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
631,Bathurst,AU,66.99,broken clouds,-33.42,149.58,Bathurst Motor Inn
634,La Trinidad,PH,61.43,clear sky,16.45,120.59,Paladin Hotel
637,Ouesso,CG,73.06,few clouds,1.61,16.05,Hôtel ABENI
641,Djambala,CG,69.76,light rain,-2.54,14.75,Auberge Chez Les Emmanuelles
642,Parana,AR,73.0,scattered clouds,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
657,Conceicao Da Barra,BR,74.71,clear sky,-18.59,-39.73,Cricaré Praia Hotel
662,Januaria,BR,70.16,clear sky,-15.48,-44.37,Hotel Paraguassu
663,Cowra,AU,62.01,clear sky,-33.83,148.68,Cowra Motor Inn
672,Talaja,IN,68.04,clear sky,21.35,72.05,Velvettas Resorts
